uf,codigo_municipio,municipio,CÓDIGO DO MUNICÍPIO - IBGE,populacao,estabelecimentos_food_service,food_service_por_100mil,estabelecimentos_recentes,taxa_recencia,porte_dominante,porte_maior,taxa_porte_maior,Microempresa,Empresa de Pequeno Porte,Demais,Não informado,Não encontrado,segmento_dominante,total_segmentos,Alimentação preparada,Cantinas,Catering empresarial,Eventos e buffet,Lanchonetes,Outros Food Service,Padarias e confeitaria,Restaurantes
SP,7107,SAO PAULO,3550308.0,11911337.0,151492,1271.8303579186788,74560,49.21712037599345,Microempresa,16330,10.779447099516807,135162,10849,5481,0,0,Alimentação preparada,151492,35840,1118,5548,4721,33003,22268,16575,32419
RJ,6001,RIO DE JANEIRO,3304557.0,6731133.0,87227,1295.8739635660147,41061,47.07372717163263,Microempresa,7465,8.558129936831484,79762,4510,2955,0,0,Alimentação preparada,87227,22646,1111,3431,2999,18813,12466,9505,16256
DF,9701,BRASILIA,5300108.0,3009996.0,32031,1064.1542380787216,15235,47.56329805500921,Microempresa,3033,9.468951952795729,28998,2098,935,0,0,Lanchonetes,32031,4855,136,933,1117,8255,5524,3131,8080
MG,4123,BELO HORIZONTE,3106200.0,2415451.0,29783,1233.020251704547,14167,47.567404223886115,Microempresa,2404,8.071718765738844,27379,1678,726,0,0,Restaurantes,29783,6451,135,889,968,6865,3661,3599,7215
BA,3849,SALVADOR,2927408.0,2559945.0,27352,1068.4604552050923,13123,47.97821000292483,Microempresa,1116,4.080140391927464,26236,647,469,0,0,Alimentação preparada,27352,6516,99,1180,938,4448,5062,3293,5816
CE,1389,FORTALEZA,2304400.0,2582360.0,25888,1002.4938428414318,13373,51.657138442521635,Microempresa,1163,4.492428924598269,24725,697,466,0,0,Lanchonetes,25888,4730,166,681,804,6328,4265,2660,6254
PR,7535,CURITIBA,4106902.0,1832183.0,23365,1275.2547098188336,10865,46.50117697410657,Microempresa,1684,7.207361438048363,21681,978,706,0,0,Lanchonetes,23365,4853,166,796,578,5733,2866,2737,5636
GO,9373,GOIANIA,5208707.0,1511709.0,19397,1283.1173195370272,10920,56.29736557199567,Microempresa,893,4.603804712068876,18504,591,302,0,0,Restaurantes,19397,3527,89,655,644,4901,2286,1996,5299
AM,255,MANAUS,1302603.0,2327101.0,18080,776.9323291081909,10528,58.23008849557522,Microempresa,1753,9.695796460176991,16327,1275,478,0,0,Restaurantes,18080,3206,122,1196,562,4352,2428,1495,4719
RS,8801,PORTO ALEGRE,4314902.0,1388791.0,15520,1117.5187627223968,7217,46.501288659793815,Microempresa,1875,12.081185567010309,13645,1317,558,0,0,Restaurantes,15520,3289,88,600,367,3683,1789,1630,4074
PE,2531,RECIFE,2611606.0,1588983.0,15482,974.3338978453513,7539,48.695259010463765,Microempresa,1368,8.836067691512724,14114,902,466,0,0,Lanchonetes,15482,2958,71,641,341,4423,2335,1557,3156
SP,6477,GUARULHOS,3518800.0,1351284.0,15193,1124.3380370077646,7974,52.48469689988811,Microempresa,1021,6.720200092147699,14172,557,464,0,0,Alimentação preparada,15193,3424,138,593,396,3145,2395,1958,3144
SP,6291,CAMPINAS,3509502.0,1189761.0,14329,1204.3595310318628,6733,46.98862446786238,Microempresa,1386,9.672691744015632,12943,854,532,0,0,Lanchonetes,14329,3113,131,526,430,3820,1807,1657,2845
PA,427,BELEM,1501402.0,1396157.0,11161,799.4086624928285,5816,52.11002598333483,Microempresa,807,7.230534898306604,10354,608,199,0,0,Restaurantes,11161,2359,27,540,379,2170,1623,840,3223
MS,9051,CAMPO GRANDE,5002704.0,970843.0,10911,1123.868637874507,5921,54.266336724406564,Microempresa,643,5.893135367977271,10268,523,120,0,0,Lanchonetes,10911,2509,80,329,405,2584,1355,1162,2487
RJ,5897,SAO GONCALO,3304904.0,959977.0,10897,1135.1313625222272,6053,55.54739836652289,Microempresa,229,2.101495824538864,10668,148,81,0,0,Alimentação preparada,10897,3150,53,385,277,2433,1470,1479,1650
SC,8105,FLORIANOPOLIS,4205407.0,598370.0,10875,1817.437371525979,5595,51.44827586206897,Microempresa,991,9.11264367816092,9884,842,149,0,0,Restaurantes,10875,2423,53,287,272,2661,1486,880,2813
RJ,5833,DUQUE DE CAXIAS,3301702.0,866167.0,10585,1222.0507130841975,5740,54.22768068020785,Microempresa,388,3.665564478034955,10197,233,155,0,0,Alimentação preparada,10585,2674,47,364,229,2350,1779,1423,1719
RJ,5869,NOVA IGUACU,3303500.0,843367.0,10293,1220.4651118670756,5940,57.709122704750804,Microempresa,297,2.88545613523754,9996,200,97,0,0,Alimentação preparada,10293,2650,48,290,303,2264,1725,1280,1733
AL,2785,MACEIO,2704302.0,995134.0,10202,1025.1885675697947,5076,49.754950009802,Microempresa,538,5.273475789060968,9664,419,119,0,0,Lanchonetes,10202,1666,35,374,284,2732,1600,1224,2287
SP,6969,RIBEIRAO PRETO,3543402.0,734538.0,9755,1328.0456559088843,4789,49.092772936955406,Microempresa,581,5.955920041004613,9174,339,242,0,0,Alimentação preparada,9755,2164,68,290,313,2031,1950,900,2039
MT,9067,CUIABA,5103403.0,698917.0,9154,1309.7406415926355,4968,54.2713567839196,Microempresa,748,8.17129123880271,8406,580,168,0,0,Restaurantes,9154,1815,59,360,298,2060,1561,821,2180
SP,7145,SOROCABA,3552205.0,766390.0,9118,1189.7336865042603,4582,50.2522483000658,Microempresa,575,6.306207501645098,8543,362,213,0,0,Alimentação preparada,9118,2433,84,363,308,2112,1270,1027,1521
SP,6789,OSASCO,3534401.0,761441.0,8961,1176.8475824128197,4633,51.70181899341591,Microempresa,545,6.0819105010601495,8416,348,197,0,0,Alimentação preparada,8961,2038,48,356,329,1947,1432,1040,1771
PB,2051,JOAO PESSOA,2507507.0,906093.0,8890,981.135490507045,4702,52.89088863892013,Microempresa,393,4.4206974128233965,8497,277,116,0,0,Lanchonetes,8890,1733,33,318,210,2407,1179,1056,1954
